SWSID,Cat1_Count,Cat2_Count,Cat4A_Count,Cat4B_Count,Cat4C_Count,Cat5_Count,305b_Listings_Cat4+5,ApprovedTMDLCount,DevelopingTMDLCount,FishPassageCount,CriticalHabitatLength_ft,ShellfishCount,SwimmingBeachPercentage,SwimmingTributaryPercentage,CohoPresence,UrbanGrowthBoundaryPercentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,HeatIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBETotalCopper,WQBETotalZinc,WQBETotalNitrogen,WQBETotalPhosphorus,WQBETotalSuspendedSolids,WQBETotalPCB,WQBETotalPBDE,WQBETotalPAH,WQBE_BEHP,WQBEFecalColiformBacteria,WQBEAnnualRunoff,UrbanHeat,MeanAnnualTSSLoad,MeanAnnualCopperLoad,MeanAnnualPhosphorusLoad,MeanAnnualZincLoad,MeanAnnualTKNLoad,Average_BIBI,FacilitiesCount,BRE_FaciltiesCount,DrainagetoPSensitiveLake
1000340.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,36227.50,63030.70,0.00,0.00,1.74,0.59,0.31,5.52,84.32,0.59,1341.41,3.67,,0.23,0.90,4.80,160.60,12.30,6096.70,0.00,0.00,0.10,0.30,0.30,4301049.00,16.28,10.60,12.90,19.20,23.30,502.10,0.00,0.00,0.00,0.00
1000350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.03,0.00,1.00,1.00,0.00,82838.40,119809.00,0.00,0.00,1.45,0.63,0.27,6.10,84.83,0.14,2931.57,1.67,41.00,0.41,3.40,17.10,712.70,54.60,18864.20,0.00,0.00,0.30,1.00,1.00,20634399.00,16.46,9.60,6.80,10.40,18.00,384.60,0.00,8.00,2.00,0.00
1000360.00,4.00,8.00,0.00,0.00,0.00,4.00,4.00,1.00,0.00,9.00,0.00,0.00,0.03,0.00,0.00,1.00,0.00,1272160.00,2216020.00,0.00,0.00,1.74,0.54,0.36,6.05,84.49,0.58,2429.59,3.33,,0.00,29.60,156.50,4157.10,335.60,175783.80,0.10,0.00,2.10,8.60,9.90,112932528.00,17.11,11.30,15.00,19.60,29.40,529.00,10.40,0.00,0.00,0.00
1000370.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,95945.50,153252.00,3.00,0.00,1.60,0.54,0.21,5.45,85.14,0.65,1195.24,4.00,73.00,0.38,2.60,14.10,367.70,29.70,15537.70,0.00,0.00,0.20,0.70,0.90,9879362.00,17.30,10.50,14.80,19.40,26.30,514.90,35.70,0.00,0.00,0.00
1000380.00,6.00,2.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,9.00,0.00,0.00,0.02,1.00,7.00,1.00,0.00,0.00,0.00,0.00,,,0.40,0.41,6.48,83.75,0.32,19646.64,3.00,,0.43,32.90,175.80,2995.60,271.80,119195.40,0.00,0.00,1.40,6.30,10.10,84484094.00,13.66,12.10,7.90,34.60,33.50,613.70,0.00,0.00,0.00,0.00
1000381.00,5.00,1.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,12.00,0.00,0.00,0.00,1.00,6.00,1.00,0.00,0.00,0.00,4.00,,,0.55,0.37,7.94,84.94,0.32,8739.06,3.00,,0.43,30.60,162.70,3311.10,287.20,120357.70,0.00,0.00,1.50,6.30,9.40,92166637.00,15.24,12.90,5.70,31.60,26.80,590.70,8.15,2.00,0.00,0.00
1000390.00,0.00,3.00,0.00,0.00,1.00,6.00,7.00,0.00,1.00,20.00,0.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00,0.00,,,0.63,0.37,7.90,82.39,0.38,4698.47,3.00,,0.40,65.20,359.90,8023.90,706.00,265606.30,0.10,0.00,3.00,13.10,23.80,223617584.00,16.19,9.40,4.10,19.20,19.40,369.90,11.33,0.00,0.00,0.00
1000400.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.48,0.11,8.61,83.77,0.19,5346.87,1.00,,0.41,1.30,6.10,337.10,25.20,6537.60,0.00,0.00,0.10,0.30,0.40,9698494.00,8.83,7.10,3.80,6.80,14.80,238.00,0.00,0.00,0.00,0.00
1000410.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.02,20210.70,5397.78,43.00,0.00,0.27,0.55,0.31,6.22,85.35,0.65,654.52,3.67,58.50,0.45,0.50,2.70,112.10,8.60,2897.30,0.00,0.00,0.00,0.10,0.20,3066325.00,17.15,17.00,16.60,26.20,37.30,636.30,6.70,3.00,3.00,0.00
1000420.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4468.31,0.00,,,0.54,0.72,6.40,78.14,0.31,5874.16,2.00,,0.30,3.70,21.40,328.10,32.20,15158.30,0.00,0.00,0.10,0.70,1.40,9510264.00,12.92,15.50,7.70,42.60,38.60,564.80,0.00,0.00,0.00,0.00
1000430.00,5.00,1.00,0.00,0.00,1.00,10.00,11.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00,0.00,,,0.51,0.32,9.15,78.14,0.16,922.28,2.33,,0.42,2.20,10.80,459.40,34.90,11206.50,0.00,0.00,0.10,0.50,0.70,12455813.00,13.04,9.00,4.90,11.50,16.60,345.90,23.05,1.00,0.00,0.00
1000440.00,0.00,2.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,,,0.54,0.39,8.06,78.14,0.16,759.76,1.67,,0.34,0.50,2.40,159.00,11.50,3416.20,0.00,0.00,0.10,0.20,0.10,4368626.00,13.60,7.90,4.30,10.00,12.50,341.10,15.80,0.00,0.00,0.00
1000450.00,0.00,1.00,0.00,0.00,0.00,12.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,0.00,0.00,0.00,,,0.66,0.22,9.06,78.14,0.20,1754.84,2.33,,0.40,3.50,17.70,625.80,48.80,16551.80,0.00,0.00,0.20,0.80,1.10,17132978.00,15.94,10.80,5.80,14.60,19.30,505.70,20.83,0.00,0.00,0.00
1000460.00,0.00,3.00,0.00,0.00,0.00,7.00,7.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,,,0.45,0.44,7.49,78.14,0.27,15731.15,2.50,,0.41,7.90,43.60,780.80,71.50,29148.20,0.00,0.00,0.30,1.50,2.70,21706619.00,16.71,13.20,6.00,34.80,31.50,635.80,0.00,0.00,0.00,0.00
1000470.00,0.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.49,0.55,9.25,78.14,0.33,8306.50,2.67,,0.40,11.00,59.90,1154.90,104.30,42007.70,0.00,0.00,0.40,2.10,3.90,32022176.00,18.44,12.50,4.70,29.50,29.00,478.80,0.00,0.00,0.00,0.00
1000480.00,0.00,1.00,0.00,0.00,0.00,4.00,4.00,0.00,1.00,9.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,337.17,0.00,,,0.63,0.40,8.91,78.14,0.35,6948.75,2.50,,0.36,4.30,21.60,890.30,67.70,23066.50,0.00,0.00,0.30,1.10,1.30,24432563.00,18.34,12.10,6.40,22.50,22.10,604.70,2.90,0.00,0.00,0.00
1000490.00,0.00,2.00,0.00,0.00,0.00,9.00,9.00,0.00,1.00,3.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,4636.03,0.00,,,0.58,0.27,8.41,78.14,0.20,1267.05,2.33,76.00,0.34,3.10,15.20,758.40,56.60,18003.10,0.00,0.00,0.30,0.90,0.90,20772159.00,15.81,9.70,3.60,11.30,14.70,388.50,11.00,0.00,0.00,0.00
1000500.00,0.00,1.00,0.00,0.00,0.00,5.00,5.00,0.00,1.00,10.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,33404.40,34.00,,,0.49,0.31,7.77,78.14,0.42,12020.05,2.33,70.00,0.36,4.90,25.00,917.10,71.20,25167.70,0.00,0.00,0.30,1.20,1.60,25195539.00,17.02,9.20,4.00,16.90,15.90,458.80,23.00,1.00,0.00,0.00
1000510.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.58,0.34,10.42,78.14,0.14,1596.17,2.00,,0.42,1.30,6.80,228.80,17.90,6225.30,0.00,0.00,0.10,0.30,0.40,6332382.00,12.45,9.80,5.90,13.00,19.50,383.70,0.00,0.00,0.00,0.00
