SWSID,305b Listings (Cat 4+5),Approved TMDL Count,Developing TMDL Count,Fish Passage Count,Critical Habitat Length ft,Shellfish Count,Swimming Beach Percentage,Swimming Tributary Percentage,Coho Presence,Urban Growth Boundary Percentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBE Total Copper (kg/yr),WQBE Total Zinc (kg/yr),WQBE Total Nitrogen (kg/yr),WQBE Total Phosphorus (kg/yr),WQBE Total Suspended Solids (kg/yr),WQBE Total PCB (kg/yr),WQBE Total PBDE (kg/yr),WQBE Total PAH (kg/yr),WQBE BEHP (kg/yr),WQBE Fecal Coliform Bacteria (10^12 CFU/year),WQBE Annual Runoff (ft^3/yr),UrbanHeatDifference,Average BIBI (216-22 Median),Facilities Count,BRE Facilities Count (All),Critical Facilities Count (25th percentile BRE),Is Drainage to P Sensitive Lake,Historic Runoff (mm),DrainageComplaint,Percent PAD Area
1102370,0,1,0,0,595.6939697,0,0,0,1,1,0,0,0,0,,,0.26030001,0.595,3.923,0.6313,17264.287,4,,0.424417929,2.350236463,13.42687833,205.3261007,21.08803257,8022.021699,0.002985854,0.000574128,0.07782435,0.398307787,0.975633093,5799963.028,18.803,,0,0,0,0,799.619,0,0
1102380,2,1,0,0,6848.279785,0,0,0,3,1,0,0,0,0,,,0.384429991,0.275,7.585,0.6313,9707.44,4,,0.424417929,1.329720363,6.659441691,303.8319928,22.99969074,7007.091933,0.002142068,0.000131558,0.088905116,0.332236377,0.457189035,8258837.888,19.382,,0,0,0,0,740.362,0,0
1102390,4,1,2,6,9085.110352,0,0,0,1,1,0,0,0,0,,,0.397184998,0.344,8.763,0.5277,2727.833,3.5,,0.423727556,4.7066978,24.31012594,762.2778216,61.05231357,21067.9441,0.007508133,0.000626847,0.244298573,1.064414434,1.632533357,20844217.45,18.193,23.175,0,0,0,0,631.509,0,0
1102400,1,1,2,0,3857.76001,0,0,0,1,1,0.00026264,0,0,0,,,0.47567299,0.258,7.121,0.4217,1174.141,3.166666665,,0.423727556,0.869414466,4.373161655,218.0681581,16.32172907,5292.045431,0.001613265,5.89E-05,0.071046687,0.250251402,0.304847356,7437210.216,18.779,,0,0,0,0,480.215,0,0
1102410,3,1,0,0,201.621994,0,0,0,1,1,0,0,0,0,,,0.298189014,0.443,7.377,0.6334,12455.658,4,,0.428205157,1.479837168,8.512044865,136.7342271,13.69546873,5130.015202,0.00190148,0.000338459,0.049570401,0.253122122,0.608009478,3847050.347,22.377,,0,0,0,0,598.47,0,0
1102420,1,1,2,5,0,0,0,0,0,1,0.039483801,0,0,0,,,0.476927996,0.311,8.171,0.6313,9864.022,4,,0.402129767,6.467125575,34.55147182,927.0013033,77.10161138,28769.52304,0.009814621,0.001012152,0.324087171,1.415183293,2.312497445,25456778.93,18.45,1.2,0,0,0,0,670.634,0,0
1102430,0,1,0,0,1327.209961,0,0,0,1,1,0.029391,0,0,0,,,0.204872996,0.481,4.892,0.6313,31395.864,4,,0.416153101,1.407818072,7.673208706,106.4844239,10.60164817,4890.277656,0.001910297,0.000318228,0.051251408,0.258709398,0.476207763,2996286.469,19.235,,0,0,0,0,800.294,0,0
1102440,0,1,0,0,2300.27002,0,0,0,1,1.000010014,0,0,0,0,,,0.127843007,0.25,2.923,0.6334,766.031,4,,0.416153101,0.258737964,1.6006754,28.74736561,3.052127509,824.6905864,0.000271594,7.54E-05,0.006652638,0.03546306,0.145478863,813625.7139,19.26,,0,0,0,0,610.98,0,0
1102450,1,1,0,0,5209.669922,0,0,0,3,1,0.0164258,0,0,0,,,0.271504998,0.702,3.726,0.6334,11659.88,4,,0.419940329,7.391893707,41.80939978,642.1215359,65.30225183,25356.55511,0.009814676,0.001738103,0.255342299,1.291680519,2.993648026,19093797.7,21.638,,0,0,0,0,775.647,0,0
1102460,1,1,0,0,6804.359863,0,0,0,3,1,0,0,0,0,,,0.412914991,0.855,4.281,0.8039,3650.188,4.166666665,,0.423727556,5.615187658,31.18559615,538.6682768,53.14039576,17778.21834,0.007331361,0.00140225,0.191765315,0.952738228,2.364665602,15197044.48,22.664,,0,0,0,0,877.567,0,0
1102470,1,1,0,0,3806.350098,0,0,0,1,1,0,0,0,0,,,0.00238253,0.355,3.889,0.8039,5442.439,4.166666665,,0.372476279,0.251186175,1.362807743,24.34408912,2.349567212,763.6784052,0.000331554,6.33E-05,0.008770392,0.042976712,0.102247253,693567.1028,21.806,,0,0,0,0,624.783,0,0
1102480,6,1,0,0,0.0104765,0,0,0,6,1,0.000449484,0,0,0,,,0.423705012,0.671,6.801,0.5693,3409.205,4,,0.37237332,28.72754207,170.5925847,2676.579047,280.9443329,101287.8257,0.037202998,0.007011315,0.942685715,4.844004621,13.25650571,76579289.57,19.256,,1,0,0,0,592.424,1,0.00226718
1102490,8,1,0,2,10619.59961,0,0,0,6,1,0.117668003,0,0,0,,,0.204579994,0.415,4.074,0.5495,1865.558,3.833333335,,0.364173848,10.47346676,60.90341069,1182.89375,114.3541925,38953.65992,0.013881245,0.00232943,0.346513969,1.840717332,4.807738894,34182194.39,17.381,,1,0,0,0,493.844,1,0.00632835
1102500,5,1,0,0,8575.849609,0,0,0,1,1,0.200306997,0,0,0,,,0.504539013,0.409,4.643,0.66355,2674.449,4,,0.355754926,6.149489176,32.38287033,797.3635877,67.26848927,24720.20488,0.009406774,0.000966422,0.23570799,1.270458775,2.292939285,22267050.57,16.418,,1,0,0,0,525.175,0,0
1102510,0,1,0,1,0,0,0,0,0,1,0.249963,0,0,0,,,0.480796009,0.696,4.948,0.973,6497.887,4,,0.355754926,7.808882372,45.00405902,736.1610186,74.8068466,25544.18212,0.009929925,0.001921431,0.255745888,1.293011011,3.427158757,20742285.14,19.066,,0,0,0,0,673.893,0,0
1102520,5,1,0,0,0,0,0,0,2,1,0.230880007,0,0,0,,,0.543169022,0.716,5.258,0.9744,2651.25,4.33333333,,0.391980029,11.29504714,63.10450053,1028.648393,101.7302849,37970.85514,0.01562661,0.00263619,0.407883751,2.03032156,4.531268231,29039132.21,22.138,,0,0,0,0,768.202,0,0
1102530,2,1,0,3,0,0,0,0,2,1,0.091332696,0,0,0,,,0.542630017,0.618,5.888,0.9737,7002.205,4,0,0.378043639,13.36720119,75.09134812,1358.340265,129.6753885,48913.78092,0.018672717,0.00285312,0.514234446,2.488614192,5.343337534,37932708.04,20.073,,0,0,0,0,762.174,0,0
1102540,2,1,0,4,0,0,0,0,2,1,0,0,0,0,,,0.547357023,0.251,8.374,0.973,2922.722,4,,0.394064388,1.836790883,9.317386087,335.4506631,26.01627119,9031.378689,0.003080187,0.000176172,0.108102082,0.446637842,0.615378631,9086884.047,18.628,34.25,0,0,0,0,602.428,0,0
1102550,2,1,0,1,0,0,0,0,2,1,0,0,0,0,,,0.392623007,0.192,6.36,0.96185,1208.362,4.5,,0.386701855,1.108942729,5.766306763,151.0450326,12.46699474,4671.089572,0.00177224,0.000163309,0.052300881,0.243797704,0.381933582,4112541.989,16.539,29.8,0,0,0,0,364.038,0,0
1102560,0,1,0,2,0,0,0,0,2,1,0,0,0,0,,,0.27116999,0.206,8.135,0.90435,1236.606,4,,0.377456023,0.275081497,1.314729721,96.74193608,7.048377321,1994.910685,0.000564444,9.04E-06,0.033583753,0.095197338,0.095394871,2748640.918,15.628,,0,0,0,0,495.806,0,0
1102570,2,1,2,3,0,0,0,0,2,1,0,0,0,0,,,0.379729986,0.508,9.32,0.9494,2522.785,4.333333335,,0.375210787,4.480429302,23.42899314,518.899,44.66600053,17455.13761,0.007000852,0.000791271,0.200236211,0.943502719,1.52659846,14272786.74,15.877,,0,0,0,0,677.556,0,0
1102580,0,1,2,0,0,0,0,0,0,1,0,0,0,0,,,0.676611006,0.378,10.087,0.9383,2016.094,4.66666667,,0.375210787,1.533720855,7.830240163,311.2449042,24.07237274,7593.476589,0.002467679,0.000133971,0.062826129,0.35312651,0.633659044,8244819.107,18.059,,0,0,0,0,636.52,0,0
1102590,2,1,2,0,0,0,0,0,0,1,0,0,0,0,,,0.653648019,0.549,7.094,0.9605,8346.295,4.66666667,,0.41138082,3.30036776,17.35271988,294.1889876,26.9133049,11735.44268,0.005020524,0.000623458,0.132556816,0.658228052,1.074201403,8188231.652,17.676,,0,0,0,0,679.202,0,0
1102600,3,1,0,0,16062,0,0,0,1,1.000010014,0.017756499,2297.51001,5.739689827,25,0.010881345,0.002498222,0.385650009,0.553,5.247,0.973,11737.318,4,68,0.36202289,20.14441169,112.7184624,1959.901652,188.0644857,72712.99961,0.027508156,0.004423459,0.735851242,3.695027988,7.91227509,55530364.12,18.028,,1,0,0,0,646.783,2,0
1102610,2,1,0,1,0,0,0,0,1,1,0,0,0,0,,,0.540835977,0.697,4.671,0.9744,5459.027,4.33333333,,0.383561107,4.660998971,26.51286202,447.7107322,44.82835018,14994.13797,0.006022081,0.001167184,0.1563217,0.782087833,2.024535242,12602943.84,18.903,,0,0,0,0,684.42,0,0
1102620,2,1,0,0,0,0,0,0,1,1,0.000325629,0,0,0,,,0.479957998,0.647,4.572,0.9744,9076.336,4.33333333,,0.383561107,2.180794303,12.06622414,193.0496162,19.01970326,7306.873517,0.003071888,0.000502944,0.080623374,0.398471911,0.845496038,5427231.86,20.102,,0,0,0,0,743.053,0,0
1102630,3,1,0,0,0,0,0,0,0,1,0.089410797,0,0,0,,,0.585663021,0.516,7.532,0.9744,348.276,4.33333333,,0.41138082,3.330319626,19.99654835,284.551122,30.49183013,13445.56406,0.004780363,0.000706354,0.12576704,0.627388235,1.446744669,8057802.031,22.446,,0,0,0,0,618.05,0,0
1102640,5,1,0,1,14242.5,0,0,0,4,1,0,0,0,0,,,0.227329001,0.574,6.581,0.8039,2273.202,4.166666665,,0.423727556,1.490070643,8.643167048,143.5383671,14.71051766,4963.096326,0.001879245,0.000375281,0.048009426,0.244409857,0.679290543,4178611.483,23.256,,0,0,0,0,684.756,0,0
1102650,1,1,0,3,3001.51001,0,0,0,3,1,0.521477997,0,0,0,,,0.466663003,0.295,7.52,0.8836,3532.453,4.33333333,,0.433203519,0.935045641,4.676800816,213.6768342,16.192431,4968.281849,0.001584476,9.90E-05,0.078783017,0.24680821,0.299214639,5856151.152,19.69,19.3,0,0,0,0,585.926,0,0
1102660,1,1,0,0,0,0,0,0,2,1,0.594738007,0,0,0,,,0.443269998,0.173,7.078,0.85795,1466.302,4.33333333,,0.433203519,0.522395469,2.576782978,159.6345689,11.70195845,3445.069632,0.00097151,1.33E-05,0.048384329,0.157458002,0.195016851,4310455.217,18.269,,0,0,0,0,500.649,0,0
1102670,0,1,2,2,0,0,0,0,0,1,0.294120997,0,0,0,,,0.501560986,0.494,9.098,0.9383,3362.558,4.66666667,,0.42229217,6.033809333,31.40683962,896.1683625,73.33811689,26254.07525,0.009660652,0.000886991,0.284441567,1.340156787,2.170764871,24401850.04,18.834,,0,0,0,0,703.106,1,0
1102680,0,1,2,0,0,0,0,0,0,1.000010014,0,0,0,0,,,0.417107999,0.248,9.287,0.9605,872.624,4.66666667,,0.42229217,0.434392537,2.24819826,51.36828027,4.360717519,1670.215621,0.000684346,7.63E-05,0.024950419,0.094135257,0.130782133,1443803.078,19.371,,0,0,0,0,484.18,0,0
1102690,0,0,2,0,0,0,0,0,0,1.000010014,0,0,0,0,,,0.226616994,0.344,10.38,0.73905,2939.982,4.16666667,,0.433203519,0.430690227,2.180755781,75.71860208,5.944366699,2170.730375,0.00075601,4.39E-05,0.024751225,0.108542309,0.171725478,2059245.368,19.293,,0,0,0,0,590.884,0,0
